,randomx,progpow,cuckatoo,height,timestamp
0,7778202,10101509869,12949,938728,1622439460
0,7747864,10101509869,12949,938729,1622439494
0,7747864,10097806461,12949,938730,1622439537
0,7752461,10097806461,12949,938731,1622439567
0,7796964,10097806461,12949,938732,1622439662
0,7796964,10100997214,12949,938733,1622439826
0,7854946,10100997214,12949,938734,1622439866
0,7854946,10036371121,12949,938735,1622439909
0,7778331,10036371121,12949,938736,1622439915
0,7765816,10036371121,12949,938737,1622439991
0,7765816,10058416497,12949,938738,1622440061
0,7783635,10058416497,12949,938739,1622440135
0,7783635,10016787691,12949,938740,1622440174
0,7737637,10016787691,12949,938741,1622440180
0,7743580,10016787691,12949,938742,1622440193
0,7743580,9975369197,12949,938743,1622440507
0,7810188,9975369197,12949,938744,1622440556
0,7607207,9975369197,12949,938745,1622440638
0,7607207,10049201052,12949,938746,1622440736
0,7607761,10049201052,12949,938747,1622440812
0,7607761,10026708449,12949,938748,1622440864
0,7562283,10026708449,12949,938749,1622440900
0,7535594,10026708449,12949,938750,1622441004
0,7535594,10019253792,12949,938751,1622441068
0,7514881,10019253792,12949,938752,1622441083
0,7514881,9959363375,12949,938753,1622441190
0,7481777,9959363375,12949,938754,1622441346
0,7446332,9959363375,12949,938755,1622441541
0,7446332,9995807140,12949,938756,1622441645
0,7373318,9995807140,12949,938757,1622441663
0,7373318,9875686704,12949,938758,1622441669
0,7351741,9875686704,12949,938759,1622441743
0,7350501,9875686704,12949,938760,1622441785
0,7350501,9879097969,12949,938761,1622441813
0,7320049,9879097969,12949,938762,1622441828
0,7320049,9861900886,12949,938763,1622441837
0,7405492,9861900886,12949,938764,1622441843
0,7431040,9861900886,12949,938765,1622441850
0,7431040,9930524823,12949,938766,1622441880
0,7434324,9930524823,12949,938767,1622441917
0,7434324,9930524823,13068,938768,1622442082
0,7455777,9930524823,13068,938769,1622442137
0,7455777,9939445173,13068,938770,1622442182
0,7403443,9939445173,13068,938771,1622442259
0,7403443,9911858409,13068,938772,1622442292
0,7417286,9911858409,13068,938773,1622442304
0,7392032,9911858409,13068,938774,1622442314
0,7392032,9906972413,13068,938775,1622442356
0,7412860,9906972413,13068,938776,1622442414
0,7391333,9906972413,13068,938777,1622442423
0,7391333,9937276548,13068,938778,1622442536
